decimalLat,decimalLon,plotID,mOrder,country,stateProvi,county,domainName,domainID,siteName,siteID,plotType,subtype,subtypeSpe,plotSize,plotDimens,referenceP,elevation
42.542779,-72.172129,HARV_053,2937720,unitedStates,MA,Worcester,Northeast,D01,Harvard Forest,HARV,tower,phenology,primary,40000,200m x 200m,C,357.98
42.539546,-72.172334,HARV_054,4166520,unitedStates,MA,Worcester,Northeast,D01,Harvard Forest,HARV,tower,phenology,phenocam,40000,200m x 200m,C,346.48
